premise,choice1,choice2,question,difficulty,answer,label,split,input,output,task,option1,option2
The chef pressed down on the dry dough.,The dough flattened.,The dough crumbled.,effect,,2,1,train,"the chef pressed down on the dry dough.
what was the effect?
(a) the dough flattened
(b) the dough crumbled",the dough crumbled,copa,the dough flattened,the dough crumbled
The woman felt compelled to help someone in need.,She donated blood.,She wrote a poem.,effect,,1,0,train,"the woman felt compelled to help someone in need.
what was the effect?
(a) she donated blood
(b) she wrote a poem",she donated blood,copa,she donated blood,she wrote a poem
The woman was not allowed to drive her car.,She was contagious.,She was intoxicated.,cause,,2,1,train,"the woman was not allowed to drive her car.
what was the cause?
(a) she was contagious
(b) she was intoxicated",she was intoxicated,copa,she was contagious,she was intoxicated
The community learned of the man's death.,His obituary appeared in the newspaper.,His family buried him in the cemetery.,cause,,1,0,train,"the community learned of the man's death.
what was the cause?
(a) his obituary appeared in the newspaper
(b) his family buried him in the cemetery",his obituary appeared in the newspaper,copa,his obituary appeared in the newspaper,his family buried him in the cemetery
I no longer broke out into a rash.,I eradicated the poison ivy from my yard.,I brushed against poison ivy in my yard.,cause,,1,0,train,"i no longer broke out into a rash.
what was the cause?
(a) i eradicated the poison ivy from my yard
(b) i brushed against poison ivy in my yard",i eradicated the poison ivy from my yard,copa,i eradicated the poison ivy from my yard,i brushed against poison ivy in my yard
The secretary put the caller on hold.,The caller waited on the line.,The caller's phone lost reception.,effect,,1,0,train,"the secretary put the caller on hold.
what was the effect?
(a) the caller waited on the line
(b) the callers phone lost reception",the caller waited on the line,copa,the caller waited on the line,the callers phone lost reception
The man dropped food on the floor.,His dog ran over to eat the food.,His dog jumped up on him.,effect,,1,0,train,"the man dropped food on the floor.
what was the effect?
(a) his dog ran over to eat the food
(b) his dog jumped up on him",his dog ran over to eat the food,copa,his dog ran over to eat the food,his dog jumped up on him
I snapped at the cat.,It scratched me.,I petted it.,cause,,1,0,train,"i snapped at the cat.
what was the cause?
(a) it scratched me
(b) i petted it",it scratched me,copa,it scratched me,i petted it
The boy loved staying in his room.,He lifted weights.,He played computer games.,effect,,2,1,train,"the boy loved staying in his room.
what was the effect?
(a) he lifted weights
(b) he played computer games",he played computer games,copa,he lifted weights,he played computer games
The pair of students came under scrutiny by the teacher.,The students both received excellent grades.,Their responses on the assignment were identical.,cause,,2,1,train,"the pair of students came under scrutiny by the teacher.
what was the cause?
(a) the students both received excellent grades
(b) their responses on the assignment were identical",their responses on the assignment were identical,copa,the students both received excellent grades,their responses on the assignment were identical
I flipped the light switch up and down.,The light faded.,The light flickered.,effect,,2,1,train,"i flipped the light switch up and down.
what was the effect?
(a) the light faded
(b) the light flickered",the light flickered,copa,the light faded,the light flickered
The man withheld personal information from the therapist.,He trusted the therapist.,He disagreed with the therapist.,cause,,2,1,train,"the man withheld personal information from the therapist.
what was the cause?
(a) he trusted the therapist
(b) he disagreed with the therapist",he disagreed with the therapist,copa,he trusted the therapist,he disagreed with the therapist
The cowgirl threw her lasso towards the horse.,The lasso grabbed onto the horse.,The horse trotted into the barn.,effect,,1,0,train,"the cowgirl threw her lasso towards the horse.
what was the effect?
(a) the lasso grabbed onto the horse
(b) the horse trotted into the barn",the lasso grabbed onto the horse,copa,the lasso grabbed onto the horse,the horse trotted into the barn
The man went away for the weekend.,He wanted to relax.,He felt content.,cause,,1,0,train,"the man went away for the weekend.
what was the cause?
(a) he wanted to relax
(b) he felt content",he wanted to relax,copa,he wanted to relax,he felt content
The patient went into a fugue state.,He suffered emotional trauma.,He suffered brain damage.,cause,,1,0,train,"the patient went into a fugue state.
what was the cause?
(a) he suffered emotional trauma
(b) he suffered brain damage",he suffered emotional trauma,copa,he suffered emotional trauma,he suffered brain damage
A crater formed on the moon.,A comet passed by the moon.,A comet collided with the moon.,cause,,2,1,train,"a crater formed on the moon.
what was the cause?
(a) a comet passed by the moon
(b) a comet collided with the moon",a comet collided with the moon,copa,a comet passed by the moon,a comet collided with the moon
The woman covered her mouth with her hand.,She sneezed.,She exhaled.,cause,,1,0,train,"the woman covered her mouth with her hand.
what was the cause?
(a) she sneezed
(b) she exhaled",she sneezed,copa,she sneezed,she exhaled
The fortune teller's revelations were false.,Many customers asked for refunds.,She received many returning customers.,effect,,1,0,train,"the fortune teller's revelations were false.
what was the effect?
(a) many customers asked for refunds
(b) she received many returning customers",many customers asked for refunds,copa,many customers asked for refunds,she received many returning customers
The mother needed help looking after her children.,She sent the children to daycare.,She gave up custody of the children.,effect,,2,1,train,"the mother needed help looking after her children.
what was the effect?
(a) she sent the children to daycare
(b) she gave up custody of the children",she gave up custody of the children,copa,she sent the children to daycare,she gave up custody of the children
The man fainted.,He ran a marathon.,He took a nap.,cause,,1,0,train,"the man fainted.
what was the cause?
(a) he ran a marathon
(b) he took a nap",he ran a marathon,copa,he ran a marathon,he took a nap
I pulled too hard on the railing.,The railing came loose from the wall.,I caught myself on the railing.,effect,,1,0,train,"i pulled too hard on the railing.
what was the effect?
(a) the railing came loose from the wall
(b) i caught myself on the railing",the railing came loose from the wall,copa,the railing came loose from the wall,i caught myself on the railing
The board game ended in a disaster.,My friend explained the rules to me.,My friend got the rules wrong.,cause,,2,1,train,"the board game ended in a disaster.
what was the cause?
(a) my friend explained the rules to me
(b) my friend got the rules wrong",my friend got the rules wrong,copa,my friend explained the rules to me,my friend got the rules wrong
The woman's purse was missing.,It contained a lot of junk.,She left it unsupervised.,cause,,2,1,train,"the woman's purse was missing.
what was the cause?
(a) it contained a lot of junk
(b) she left it unsupervised",she left it unsupervised,copa,it contained a lot of junk,she left it unsupervised
The woman became famous.,Her family avoided her.,Photographers followed her.,effect,,2,1,train,"the woman became famous.
what was the effect?
(a) her family avoided her
(b) photographers followed her",photographers followed her,copa,her family avoided her,photographers followed her
The security guard tackled the man.,The man reached into his pocket.,The man displayed a weapon.,cause,,2,1,train,"the security guard tackled the man.
what was the cause?
(a) the man reached into his pocket
(b) the man displayed a weapon",the man displayed a weapon,copa,the man reached into his pocket,the man displayed a weapon
I did not approach the man.,He looked familiar.,He looked busy.,cause,,2,1,train,"i did not approach the man.
what was the cause?
(a) he looked familiar
(b) he looked busy",he looked busy,copa,he looked familiar,he looked busy
The teacher caught the student chewing gum.,The student spit out the gum.,The gum stuck to the student's shoe.,effect,,1,0,train,"the teacher caught the student chewing gum.
what was the effect?
(a) the student spit out the gum
(b) the gum stuck to the students shoe",the student spit out the gum,copa,the student spit out the gum,the gum stuck to the students shoe
The chandelier was removed from the ceiling.,The chandelier's lights flickered on and off.,The chandelier dropped from the ceiling.,cause,,1,0,train,"the chandelier was removed from the ceiling.
what was the cause?
(a) the chandeliers lights flickered on and off
(b) the chandelier dropped from the ceiling",the chandeliers lights flickered on and off,copa,the chandeliers lights flickered on and off,the chandelier dropped from the ceiling
The teenager made many new friends.,He joined the basketball team.,He went through a growth spurt.,cause,,1,0,train,"the teenager made many new friends.
what was the cause?
(a) he joined the basketball team
(b) he went through a growth spurt",he joined the basketball team,copa,he joined the basketball team,he went through a growth spurt
I regained composure from my fit of anger.,I took deep breaths.,My heart pounded.,cause,,1,0,train,"i regained composure from my fit of anger.
what was the cause?
(a) i took deep breaths
(b) my heart pounded",i took deep breaths,copa,i took deep breaths,my heart pounded
The man won the lottery.,He owed money.,He became rich.,effect,,2,1,train,"the man won the lottery.
what was the effect?
(a) he owed money
(b) he became rich",he became rich,copa,he owed money,he became rich
I cut my nails.,I chipped my fingernail.,My finger swelled.,cause,,1,0,train,"i cut my nails.
what was the cause?
(a) i chipped my fingernail
(b) my finger swelled",i chipped my fingernail,copa,i chipped my fingernail,my finger swelled
The host served dinner to his guests.,His guests were gracious.,His guests went hungry.,effect,,1,0,train,"the host served dinner to his guests.
what was the effect?
(a) his guests were gracious
(b) his guests went hungry",his guests were gracious,copa,his guests were gracious,his guests went hungry
The button on my laptop fell off.,I sewed the button back on.,I glued the button back on.,effect,,2,1,train,"the button on my laptop fell off.
what was the effect?
(a) i sewed the button back on
(b) i glued the button back on",i glued the button back on,copa,i sewed the button back on,i glued the button back on
No witnesses of the crime testified against the suspect.,The suspect was convicted.,The suspect was acquitted.,effect,,2,1,train,"no witnesses of the crime testified against the suspect.
what was the effect?
(a) the suspect was convicted
(b) the suspect was acquitted",the suspect was acquitted,copa,the suspect was convicted,the suspect was acquitted
I wore my shirt.,It was clean.,It was wrinkled.,cause,,1,0,train,"i wore my shirt.
what was the cause?
(a) it was clean
(b) it was wrinkled",it was clean,copa,it was clean,it was wrinkled
The vandals blew cold air at the window.,The window cracked.,The window fogged up.,effect,,2,1,train,"the vandals blew cold air at the window.
what was the effect?
(a) the window cracked
(b) the window fogged up",the window fogged up,copa,the window cracked,the window fogged up
The mother no longer needed her son's picture.,His mother sold the picture to a gallery.,His mother hung the picture on the wall.,effect,,1,0,train,"the mother no longer needed her son's picture.
what was the effect?
(a) his mother sold the picture to a gallery
(b) his mother hung the picture on the wall",his mother sold the picture to a gallery,copa,his mother sold the picture to a gallery,his mother hung the picture on the wall
The fans in the stadium were apathetic.,The player scored.,The game ended in a tie.,cause,,2,1,train,"the fans in the stadium were apathetic.
what was the cause?
(a) the player scored
(b) the game ended in a tie",the game ended in a tie,copa,the player scored,the game ended in a tie
The man became offensive.,His family offered him financial support.,His family cut off contact with him.,effect,,2,1,train,"the man became offensive.
what was the effect?
(a) his family offered him financial support
(b) his family cut off contact with him",his family cut off contact with him,copa,his family offered him financial support,his family cut off contact with him
The man won the competition.,The competition was sabotaged.,He intimidated his competitors.,cause,,2,1,train,"the man won the competition.
what was the cause?
(a) the competition was sabotaged
(b) he intimidated his competitors",he intimidated his competitors,copa,the competition was sabotaged,he intimidated his competitors
The toddler started crying.,Her parents took away her toy.,Her parents gave her a toy.,effect,,2,1,train,"the toddler started crying.
what was the effect?
(a) her parents took away her toy
(b) her parents gave her a toy",her parents gave her a toy,copa,her parents took away her toy,her parents gave her a toy
The man is a long-time member of the church.,He donated money to the church.,He was excommunicated from the church.,effect,,1,0,train,"the man is a long-time member of the church.
what was the effect?
(a) he donated money to the church
(b) he was excommunicated from the church",he donated money to the church,copa,he donated money to the church,he was excommunicated from the church
Political violence finally ended in the nation.,Many citizens relocated to the capitol.,Many citizens took refuge in other territories.,effect,,1,0,train,"political violence finally ended in the nation.
what was the effect?
(a) many citizens relocated to the capitol
(b) many citizens took refuge in other territories",many citizens relocated to the capitol,copa,many citizens relocated to the capitol,many citizens took refuge in other territories
The bird flew south.,It injured its wing.,It migrated for the winter.,cause,,2,1,train,"the bird flew south.
what was the cause?
(a) it injured its wing
(b) it migrated for the winter",it migrated for the winter,copa,it injured its wing,it migrated for the winter
The woman behind me left the door open.,The woman thanked me.,The door slammed shut.,effect,,2,1,train,"the woman behind me left the door open.
what was the effect?
(a) the woman thanked me
(b) the door slammed shut",the door slammed shut,copa,the woman thanked me,the door slammed shut
I put the bottle into a freezer.,The liquid in the bottle froze.,The liquid in the bottle poured out.,effect,,1,0,train,"i put the bottle into a freezer.
what was the effect?
(a) the liquid in the bottle froze
(b) the liquid in the bottle poured out",the liquid in the bottle froze,copa,the liquid in the bottle froze,the liquid in the bottle poured out
The woman aimed for a diploma.,She enrolled in college.,She graduated from college.,cause,,1,0,train,"the woman aimed for a diploma.
what was the cause?
(a) she enrolled in college
(b) she graduated from college",she enrolled in college,copa,she enrolled in college,she graduated from college
The driver got pulled over by the police.,He was parking.,He was speeding.,cause,,2,1,train,"the driver got pulled over by the police.
what was the cause?
(a) he was parking
(b) he was speeding",he was speeding,copa,he was parking,he was speeding
The man noticed that the woman likes jewelry.,The woman got her hair cut.,The woman wore a bracelet.,cause,,2,1,train,"the man noticed that the woman likes jewelry.
what was the cause?
(a) the woman got her hair cut
(b) the woman wore a bracelet",the woman wore a bracelet,copa,the woman got her hair cut,the woman wore a bracelet
The boy skipped dinner.,He ate a big lunch.,His mother cooked his favorite meal.,cause,,1,0,train,"the boy skipped dinner.
what was the cause?
(a) he ate a big lunch
(b) his mother cooked his favorite meal",he ate a big lunch,copa,he ate a big lunch,his mother cooked his favorite meal
The girl was angry with her friend.,The girl told a secret to her friend.,The girl spread a rumor about her friend.,effect,,2,1,train,"the girl was angry with her friend.
what was the effect?
(a) the girl told a secret to her friend
(b) the girl spread a rumor about her friend",the girl spread a rumor about her friend,copa,the girl told a secret to her friend,the girl spread a rumor about her friend
The girl wanted to wear earrings.,She got her ears pierced.,She got a tattoo.,effect,,1,0,train,"the girl wanted to wear earrings.
what was the effect?
(a) she got her ears pierced
(b) she got a tattoo",she got her ears pierced,copa,she got her ears pierced,she got a tattoo
The scientist conducted an experiment.,She fabricated her data.,She validated her theory.,effect,,2,1,train,"the scientist conducted an experiment.
what was the effect?
(a) she fabricated her data
(b) she validated her theory",she validated her theory,copa,she fabricated her data,she validated her theory
The police officer pulled over the celebrity.,The celebrity sued the police officer.,The celebrity offered the officer a bribe.,effect,,2,1,train,"the police officer pulled over the celebrity.
what was the effect?
(a) the celebrity sued the police officer
(b) the celebrity offered the officer a bribe",the celebrity offered the officer a bribe,copa,the celebrity sued the police officer,the celebrity offered the officer a bribe
He was tired and stared at the clock.,It was the top of the hour.,The hour seemed to drag on.,cause,,2,1,train,"he was tired and stared at the clock.
what was the cause?
(a) it was the top of the hour
(b) the hour seemed to drag on",the hour seemed to drag on,copa,it was the top of the hour,the hour seemed to drag on
I scrubbed the stain on the floor.,I got rid of the stain.,I got dirt on the floor.,effect,,1,0,train,"i scrubbed the stain on the floor.
what was the effect?
(a) i got rid of the stain
(b) i got dirt on the floor",i got rid of the stain,copa,i got rid of the stain,i got dirt on the floor
The man took a shower.,He opened a new bar of soap.,He was sweaty from working out.,cause,,2,1,train,"the man took a shower.
what was the cause?
(a) he opened a new bar of soap
(b) he was sweaty from working out",he was sweaty from working out,copa,he opened a new bar of soap,he was sweaty from working out
The rocket looked pretty.,The girl designed it.,The girl launched it.,cause,,1,0,train,"the rocket looked pretty.
what was the cause?
(a) the girl designed it
(b) the girl launched it",the girl designed it,copa,the girl designed it,the girl launched it
The boy threw a temper tantrum.,He shared his toys with his brother.,His brother took his toys from him.,cause,,2,1,train,"the boy threw a temper tantrum.
what was the cause?
(a) he shared his toys with his brother
(b) his brother took his toys from him",his brother took his toys from him,copa,he shared his toys with his brother,his brother took his toys from him
I already received a copy of the new magazine.,I stopped receiving new issues.,I discarded the new issue.,effect,,2,1,train,"i already received a copy of the new magazine.
what was the effect?
(a) i stopped receiving new issues
(b) i discarded the new issue",i discarded the new issue,copa,i stopped receiving new issues,i discarded the new issue
New countries were discovered.,Oil spilled into the ocean.,Boats sailed through the ocean.,cause,,2,1,train,"new countries were discovered.
what was the cause?
(a) oil spilled into the ocean
(b) boats sailed through the ocean",boats sailed through the ocean,copa,oil spilled into the ocean,boats sailed through the ocean
The journalist did not write about the humanitarian.,The humanitarian was difficult for the journalist to interview.,The journalist was intrigued by the humanitarian's work.,cause,,1,0,train,"the journalist did not write about the humanitarian.
what was the cause?
(a) the humanitarian was difficult for the journalist to interview
(b) the journalist was intrigued by the humanitarians work",the humanitarian was difficult for the journalist to interview,copa,the humanitarian was difficult for the journalist to interview,the journalist was intrigued by the humanitarians work
The man had a grin on his face.,The woman kissed him.,The woman made him blush.,cause,,2,1,train,"the man had a grin on his face.
what was the cause?
(a) the woman kissed him
(b) the woman made him blush",the woman made him blush,copa,the woman kissed him,the woman made him blush
The woman read the email.,The sender tried to solicit money from her.,The sender requested a response from her.,cause,,2,1,train,"the woman read the email.
what was the cause?
(a) the sender tried to solicit money from her
(b) the sender requested a response from her",the sender requested a response from her,copa,the sender tried to solicit money from her,the sender requested a response from her
I burst into a cold room.,My teeth began to chatter.,My eyes welled up with tears.,effect,,1,0,train,"i burst into a cold room.
what was the effect?
(a) my teeth began to chatter
(b) my eyes welled up with tears",my teeth began to chatter,copa,my teeth began to chatter,my eyes welled up with tears
The boy rubbed the side of the jar.,The lid came off.,The jar became warm.,effect,,2,1,train,"the boy rubbed the side of the jar.
what was the effect?
(a) the lid came off
(b) the jar became warm",the jar became warm,copa,the lid came off,the jar became warm
The fussy baby calmed down.,The parents shook a rattle in front of the baby.,The parents picked out a name for the baby.,cause,,1,0,train,"the fussy baby calmed down.
what was the cause?
(a) the parents shook a rattle in front of the baby
(b) the parents picked out a name for the baby",the parents shook a rattle in front of the baby,copa,the parents shook a rattle in front of the baby,the parents picked out a name for the baby
The woman walked with crutches.,She broke her leg.,She shaved her legs.,cause,,1,0,train,"the woman walked with crutches.
what was the cause?
(a) she broke her leg
(b) she shaved her legs",she broke her leg,copa,she broke her leg,she shaved her legs
My friend paid for my ticket.,I paid her back.,I sought a refund.,effect,,1,0,train,"my friend paid for my ticket.
what was the effect?
(a) i paid her back
(b) i sought a refund",i paid her back,copa,i paid her back,i sought a refund
The woman felt ashamed of scar on her face.,She hid the scar with makeup.,She explained the scar to strangers.,effect,,1,0,train,"the woman felt ashamed of scar on her face.
what was the effect?
(a) she hid the scar with makeup
(b) she explained the scar to strangers",she hid the scar with makeup,copa,she hid the scar with makeup,she explained the scar to strangers
